Title,Type,BodyPart,Equipment,Level,BodyPartPic,ExercisePic
Partner plank band row,Strength,Abdominals,Bands,Intermediate,https://artifacts.bbcomcdn.com/@bbcom/exercises-app/2.1.2/img/guide-13.gif,
Banded crunch isometric hold,Strength,Abdominals,Bands,Intermediate,https://artifacts.bbcomcdn.com/@bbcom/exercises-app/2.1.2/img/guide-13.gif,
FYR Banded Plank Jack,Strength,Abdominals,Bands,Intermediate,https://artifacts.bbcomcdn.com/@bbcom/exercises-app/2.1.2/img/guide-13.gif,
Banded crunch,Strength,Abdominals,Bands,Intermediate,https://artifacts.bbcomcdn.com/@bbcom/exercises-app/2.1.2/img/guide-13.gif,
Crunch,Strength,Abdominals,Bands,Intermediate,https://artifacts.bbcomcdn.com/@bbcom/exercises-app/2.1.2/img/guide-13.gif,
Decline band press sit-up,Strength,Abdominals,Bands,Intermediate,https://artifacts.bbcomcdn.com/@bbcom/exercises-app/2.1.2/img/guide-13.gif,
FYR2 Banded Frog Pump,Strength,Abdominals,Bands,Intermediate,https://artifacts.bbcomcdn.com/@bbcom/exercises-app/2.1.2/img/guide-13.gif,
Band low-to-high twist,Strength,Abdominals,Bands,Intermediate,https://artifacts.bbcomcdn.com/@bbcom/exercises-app/2.1.2/img/guide-13.gif,
Barbell roll-out,Strength,Abdominals,Barbell,Intermediate,https://artifacts.bbcomcdn.com/@bbcom/exercises-app/2.1.2/img/guide-13.gif,
Barbell Ab Rollout - On Knees,Strength,Abdominals,Barbell,Intermediate,https://artifacts.bbcomcdn.com/@bbcom/exercises-app/2.1.2/img/guide-13.gif,
Decline bar press sit-up,Strength,Abdominals,Barbell,Intermediate,https://artifacts.bbcomcdn.com/@bbcom/exercises-app/2.1.2/img/guide-13.gif,
Bench barbell roll-out,Strength,Abdominals,Barbell,Beginner,https://artifacts.bbcomcdn.com/@bbcom/exercises-app/2.1.2/img/guide-13.gif,
Barbell Side Bend,Strength,Abdominals,Barbell,Beginner,https://artifacts.bbcomcdn.com/@bbcom/exercises-app/2.1.2/img/guide-13.gif,
Seated bar twist,Strength,Abdominals,Barbell,Intermediate,https://artifacts.bbcomcdn.com/@bbcom/exercises-app/2.1.2/img/guide-13.gif,
Single-arm landmine pull and press,Strength,Abdominals,Barbell,Intermediate,https://artifacts.bbcomcdn.com/@bbcom/exercises-app/2.1.2/img/guide-13.gif,
Barbell Ab Roll Out - Gethin Variation,Strength,Abdominals,Barbell,Intermediate,https://artifacts.bbcomcdn.com/@bbcom/exercises-app/2.1.2/img/guide-13.gif, 
30 Barbell Floor Wiper,Strength,Abdominals,Barbell,Intermediate,https://artifacts.bbcomcdn.com/@bbcom/exercises-app/2.1.2/img/guide-13.gif,
30 Barbell Roll-Out,Strength,Abdominals,Barbell,Intermediate,https://artifacts.bbcomcdn.com/@bbcom/exercises-app/2.1.2/img/guide-13.gif,
Decline plate sit-up,Strength,Abdominals,Barbell,Intermediate,https://artifacts.bbcomcdn.com/@bbcom/exercises-app/2.1.2/img/guide-13.gif,
KV Barbell Hip Thrust,Strength,Abdominals,Barbell,Intermediate,https://artifacts.bbcomcdn.com/@bbcom/exercises-app/2.1.2/img/guide-13.gif,
Advanced Kettlebell Windmill,Strength,Abdominals,Kettlebells,Beginner,https://artifacts.bbcomcdn.com/@bbcom/exercises-app/2.1.2/img/guide-13.gif,
Kettlebell Windmill,Strength,Abdominals,Kettlebells,Intermediate,https://artifacts.bbcomcdn.com/@bbcom/exercises-app/2.1.2/img/guide-13.gif,
Kettlebell Pass Between The Legs,Strength,Abdominals,Kettlebells,Beginner,https://artifacts.bbcomcdn.com/@bbcom/exercises-app/2.1.2/img/guide-13.gif,
Kettlebell 3-point leg extension,Strength,Abdominals,Kettlebells,Intermediate,https://artifacts.bbcomcdn.com/@bbcom/exercises-app/2.1.2/img/guide-13.gif,
Double Kettlebell Swing,Strength,Abdominals,Kettlebells,Intermediate,https://artifacts.bbcomcdn.com/@bbcom/exercises-app/2.1.2/img/guide-13.gif,
Burpee over kettlebell,Strength,Abdominals,Kettlebells,Intermediate,https://artifacts.bbcomcdn.com/@bbcom/exercises-app/2.1.2/img/guide-13.gif,
Kettlebell toe-touch,Strength,Abdominals,Kettlebells,Intermediate,https://artifacts.bbcomcdn.com/@bbcom/exercises-app/2.1.2/img/guide-13.gif,
Kettlebell swing,Strength,Abdominals,Kettlebells,Intermediate,https://artifacts.bbcomcdn.com/@bbcom/exercises-app/2.1.2/img/guide-13.gif,
Two-way swing,Strength,Abdominals,Kettlebells,Intermediate,https://artifacts.bbcomcdn.com/@bbcom/exercises-app/2.1.2/img/guide-13.gif,
Kettlebell crab reach,Strength,Abdominals,Kettlebells,Intermediate,https://artifacts.bbcomcdn.com/@bbcom/exercises-app/2.1.2/img/guide-13.gif,
Taylor Single-Arm Kettlebell Swing,Strength,Abdominals,Kettlebells,Intermediate,https://artifacts.bbcomcdn.com/@bbcom/exercises-app/2.1.2/img/guide-13.gif,
Holman Kettlebell Up to Elbow Down,Strength,Abdominals,Kettlebells,Intermediate,https://artifacts.bbcomcdn.com/@bbcom/exercises-app/2.1.2/img/guide-13.gif,
FYR2 Double-Kettlebell Ski,Strength,Abdominals,Kettlebells,Intermediate,https://artifacts.bbcomcdn.com/@bbcom/exercises-app/2.1.2/img/guide-13.gif,
FYR2 Kettlebell Hike,Strength,Abdominals,Kettlebells,Intermediate,https://artifacts.bbcomcdn.com/@bbcom/exercises-app/2.1.2/img/guide-13.gif,
FYR2 Kettlebell Cross-Body Catch,Strength,Abdominals,Kettlebells,Intermediate,https://artifacts.bbcomcdn.com/@bbcom/exercises-app/2.1.2/img/guide-13.gif,
FYR2 Kettlebell Duck Walk,Strength,Abdominals,Kettlebells,Intermediate,https://artifacts.bbcomcdn.com/@bbcom/exercises-app/2.1.2/img/guide-13.gif,
FYR2 Kettlebell Get-Up Reach,Strength,Abdominals,Kettlebells,Intermediate,https://artifacts.bbcomcdn.com/@bbcom/exercises-app/2.1.2/img/guide-13.gif,
